SCRIPT1,0
●
END_SCRIPT
SCRIPT2,0
●
END_SCRIPT
SCRIPT3,0
●
END_SCRIPT
SCRIPT4,0
●
END_SCRIPT
SCRIPT5,0
●
END_SCRIPT
SCRIPT6,0
●
END_SCRIPT
SCRIPT7,0
●
END_SCRIPT
SCRIPT8,0
バストショット:cps2_bs_ayame_a2.tga,左,OFF
文字表示:あやめ:この椅子だけななめってるわっ！, , ,なし,1,OFF,OFF,OFF,0,OFF
●
END_SCRIPT
SCRIPT9,0
●
END_SCRIPT
SCRIPT10,0
●
END_SCRIPT
SCRIPT11,0
●
END_SCRIPT
SCRIPT12,0
●
END_SCRIPT
SCRIPT13,0
●
END_SCRIPT
SCRIPT14,0
フェード:イン,30,黒
ステーションにあったインスタントコーヒーを勝手に拝借し、ポットの湯を注いで３杯分。
律子の淹れたコーヒーを飲みながら、身体を温める主人公達。

律子は、壁の天井付近にある角ダクトを見上げている。

文字表示:律子:外に繋がる風導管があるわ……ここから、,他の部屋の音が聞けるかも知れないわね,//※読み：風導管＝ダクト,なし,1,OFF,OFF,OFF,0,OFF
文字表示://※読み：風導管＝ダク:,律子「っ……けほっ、けほっ」（※音声のみ）,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:ね、ね、,メールの知り合いってー、だれ？,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:律子:雅巳って男性よ,芳仲雅巳　……ここで看護師をしている人,//読み：よしなかまさみ,なし,1,OFF,OFF,OFF,0,OFF
文字表示://読み：よしなかまさ:,千代美：,彼氏ッスか？,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:彼氏ッスか？,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:律子:婚約もしてるわ……,//くすっと笑いながら,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:あやめ:わぁ,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:ホヒッ！　……ブフッ！,//噴き出す,,なし,1,OFF,OFF,OFF,0,OFF
//SE:ピッ（携帯操作音）
文字表示:律子:ナースステーションにいるから助けに来て、,って出しといたわ……返事を待ちましょう,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:電話したら早くね？,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:律子:何度もかけてるわよ、でも留守電なの,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:律子:院内がこんなだもの、奇病の発症した患者を,拘束するために、外に応援要請をしているだろうし……,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:律子:その対応に追われているんじゃないかしら,,,なし,1,OFF,OFF,OFF,0,OFF



文字表示:千代美:美味～ぃ　（ズズッとコーヒーを飲む）,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:あやめ:――千代美ちゃんは、どうしてこの病院に……？,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:ちょｗｗ　何言ってるかね、,あやめが入院したから、お見舞いに来たんじゃん,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:あやめ:え……,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:他に、くららと、シバイヌと、ザキヤマも、ここに来てるはずだょ,この病院で直待ち合わせしてたもの,//※読み：直＝ちょく,なし,1,OFF,OFF,OFF,0,OFF
文字表示://※読み：直＝ちょ:,千代美：,――ちよみは、故あってひとりで来たけど,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:――ちよみは、故あってひとりで来たけど,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:あやめ:……私が……入院？,,,なし,1,OFF,OFF,OFF,0,OFF
うつむくあやめ。
記憶をひねり出そうと床を見つめる。

文字表示:千代美:（っし、バレてない……寝坊して皆においてかれたなど、,　バレてはいないのだ）,//※小声で,なし,1,OFF,OFF,OFF,0,OFF

文字表示:律子:あんた考え事が漏れてしまうタイプね,声に出てるわよ,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:なぬ？！,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:まいいや……でさ？　売店でお菓子買ってたら,急になんか、廊下のシャッターが下りてきてな,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:すっげー悲鳴があがって、,急に辺りがざわめきだして……,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:なんやったら、みんなバタバタ走り出して……,そしたら急に目の前が煙で、まっ白くなって！,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:煙を吸ったら意識がなくなって……,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:気が付いたら、こんな格好でトイレにいてさ　（※変更するかも）,,,なし,1,OFF,OFF,OFF,0,OFF
手術着をつまみ、己が姿を眺める千代美。

文字表示:千代美:もぅ～、服もだけどパンツまで持ってったの誰だょ,スースーするぢゃないのさ,//ぼそっと,なし,1,OFF,OFF,OFF,0,OFF

つまんだ裾をひらひらさせながらつぶやく千代美。

文字表示:あやめ:――千代美ちゃん、,私、どうして入院していたの？,,なし,1,OFF,OFF,OFF,0,OFF
うつむいていたあやめが、すがるように顔を上げる。

文字表示:千代美:へ？,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:あやめ:私、全然記憶が無いの,,,なし,1,OFF,OFF,OFF,0,OFF
しんとした間。

文字表示:千代美:……いやいやいや……ははは,ちよみの事とかは？,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:あやめ:千代美ちゃんの事は憶えていたわ,今言った、クラスの友達の名前も……,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:あやめ:だけど、今それ以外,どうしても思い出せない,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:あやめ:自分のことも分からないの……,……名前以外,,なし,1,OFF,OFF,OFF,0,OFF
頭を抱えてうな垂れる主人公。

文字表示:千代美:……うっそ……,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:あやめ:……ひっくひっく,,,なし,1,OFF,OFF,OFF,0,OFF
ついに泣き出す主人公。

文字表示:あやめ:もう嫌……ッ、怖いわ……　（※ぼろぼろ泣きながら）,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:おいおいあやめ……,泣くなょ、泣くなょ,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:あやめ:……う……うう……うぅー……,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:……もう大丈夫,ちよみが知ってる事、全部教える,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:あやめの記憶、埋めてあげるぢぇ？,な？,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:あやめ:うううっ……グスン、グスン,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:律子:――はァ！？,,,なし,1,OFF,OFF,OFF,0,OFF
急に怒った様な声を上げる律子。
驚いて振り向く二人。

文字表示:律子:記憶が無いって、本当？,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:あやめ:は、はい,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:律子:そんな大事な事、何で私に言わなかったの,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:あやめ:あの……言いそびれて,……ごめんなさい,,なし,1,OFF,OFF,OFF,0,OFF
――重苦しい間。

文字表示:あやめ:……ごめんなさい……,,,なし,1,OFF,OFF,OFF,0,OFF
間。

文字表示:千代美:……ぶーっ……おばさんさぁ、,,,なし,1,OFF,OFF,OFF,0,OFF
律子を睨んで、不満の声を漏らす千代美。

文字表示:律子:あ？,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:あやめ:千代美ちゃん、やめて,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:千代美:ぶすぅ～……,ぷぅーっ,,なし,1,OFF,OFF,OFF,0,OFF
間。

文字表示:律子:……はぁっ,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:律子:――言えば、相談にのれるかも知れないじゃない？,秘密はやめて、全部話してね,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:律子:私たちは、仲間でしょ？,,,なし,1,OFF,OFF,OFF,0,OFF
文字表示:あやめ:はい……,,,なし,1,OFF,OFF,OFF,0,OFF
ギシッと椅子に座りなおすと、
